City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Belmonte,BR,84.2,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
6,Buala,SB,79.11,few clouds,-8.145,159.5921,Maringe Lagoon Lodge
7,Ribeira Grande,PT,75.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
9,Kahului,US,77.85,broken clouds,20.8947,-156.47,Maui Seaside Hotel
11,Mastic Beach,US,76.57,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
14,Bengkulu,ID,77.16,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
16,Sur,OM,85.57,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
19,Padang,ID,78.85,overcast clouds,-0.9492,100.3543,Mercure Padang
20,Naze,JP,77.99,clear sky,28.3667,129.4833,オーベルジュ・アガルイ
21,Sao Filipe,CV,80.35,scattered clouds,14.8961,-24.4956,Hotel Xaguate
22,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
23,Kumluca,TR,78.1,clear sky,36.3703,30.2869,TurkuazKöy
28,Isangel,VU,77.11,few clouds,-19.55,169.2667,Tanna Lodge
35,Hithadhoo,MV,84.11,broken clouds,-0.6,73.0833,Scoop Guest House
38,Sao Joao Da Barra,BR,84.29,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
46,Gizo,SB,81.91,overcast clouds,-8.103,156.8419,Imagination Island
47,Laguna,US,75.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
50,Caluquembe,AO,84.65,broken clouds,-13.7833,14.6833,Hotel Kalukembe
54,Progreso,MX,86.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
61,Dingle,PH,76.35,light rain,10.9995,122.6711,SEGAYA PROPERTY
65,Butaritari,KI,81.55,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
72,Alugan,PH,79.7,moderate rain,12.2188,125.4808,JM Lodge
81,Kavieng,PG,81.43,few clouds,-2.5744,150.7967,Nusa Island Retreat
82,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
91,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
92,Vanimo,PG,77.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
96,Cockburn Town,TC,83.57,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
97,Saravena,CO,82.49,broken clouds,6.9538,-71.8752,Hotel Diamante Saravena
99,Tacarigua,VE,83.26,scattered clouds,10.0862,-67.9198,Posada Tacarigua C.A.
102,Kaohsiung,TW,84.15,scattered clouds,22.6163,120.3133,御宿商旅-中山館
111,Westport,US,75.97,clear sky,41.1415,-73.3579,The Westport Inn
114,Atuona,PF,77.11,broken clouds,-9.8,-139.0333,Villa Enata
119,Gemena,CD,82.24,overcast clouds,3.25,19.7667,Hôtel Goshen
121,Jiaocheng,CN,76.3,clear sky,24.6774,116.1389,Changtan Tourism Resort
122,Arraial Do Cabo,BR,75.06,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
127,Tigzirt,DZ,80.37,clear sky,36.8886,4.1198,Bloc D tazoumbirt (amar)
128,Igboho,NG,84.11,moderate rain,8.8333,3.75,More Hotet LTD
130,Kutum,SD,87.69,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
137,Cabo San Lucas,MX,84.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
138,Russell,US,75.9,few clouds,32.3502,-85.1999,Macs
142,Ushirombo,TZ,81.77,overcast clouds,-3.4919,31.9639,Kigali Hotel
143,Bafilo,TG,84.42,overcast clouds,9.35,1.2667,Hôtel Assoli
145,San Patricio,US,81.05,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
146,Kununurra,AU,82.38,scattered clouds,-15.7667,128.7333,Hotel Kununurra
147,Lamu,KE,79.02,scattered clouds,-2.2717,40.902,Lamu House
153,Altamira,BR,87.89,broken clouds,-3.2033,-52.2064,Requinte Hotel
155,Martapura,ID,77.09,overcast clouds,-3.4167,114.85,Montana Hotel Syariah
157,Taitung,TW,78.37,clear sky,22.7583,121.1444,Taitung Bali Suites Hotel
163,Ponta Do Sol,PT,82.0,scattered clouds,32.6667,-17.1,Hotel do Campo
164,Chau Doc,VN,80.94,overcast clouds,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
168,Panama City,PA,88.43,scattered clouds,8.9936,-79.5197,Riande Urban Hotel
177,Port Keats,AU,79.3,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
182,Jibuti,DJ,87.22,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
183,Labuhan,ID,79.95,light rain,-6.8844,112.2051,PT PPI Lamongan Tambak C
192,Ranong,TH,78.55,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
196,Meulaboh,ID,77.58,clear sky,4.1363,96.1285,Kost Pria
198,Luena,AO,78.26,overcast clouds,-11.7833,19.9167,Hotel Kandamba
199,Tshikapa,CD,82.0,light rain,-6.4167,20.8,Hôtel Tshia-Muntu de Tshikapa
201,Vaitape,PF,77.74,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
204,Hinesville,US,80.49,clear sky,31.8469,-81.5959,"Holiday Inn Express & Suites Hinesville East - Fort Stewart, an IHG Hotel"
215,Impfondo,CG,82.69,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
216,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
217,Port Blair,IN,81.27,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
219,Mogadishu,SO,78.94,few clouds,2.0371,45.3438,Hotel Juba
220,Phulera,IN,85.86,overcast clouds,26.8667,75.2333,Ajay kanojia
224,Pedernales,DO,84.92,overcast clouds,18.0384,-71.744,Hotel Costa Marina
228,Taklisah,TN,84.61,clear sky,36.7833,10.6333,Takelsa vineyard
234,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
240,Luang Prabang,LA,76.06,scattered clouds,19.8856,102.1347,Villa Oasis
241,Hambantota,LK,81.37,clear sky,6.1241,81.1185,Bungalow 63
246,Acarau,BR,88.93,clear sky,-2.8856,-40.12,castelo pizzaria
253,Hobyo,SO,79.81,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
254,Conakry,GN,88.36,light rain,9.538,-13.6773,Riviera Royal Hotel
262,San Quintin,MX,76.06,overcast clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
263,Vila Velha,BR,84.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
267,Neiafu,TO,75.88,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
276,Shenjiamen,CN,76.84,clear sky,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
280,Caravelas,BR,84.76,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
284,Ravar,IR,76.91,clear sky,31.2656,56.8055,کافی نت و کامپیوترپرشین سیستم
287,Port-Gentil,GA,82.36,broken clouds,-0.7193,8.7815,Fengshui Residence
288,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
292,Erzin,TR,82.92,clear sky,36.9559,36.2,Artemis Otel
295,Mbanza-Ngungu,CD,84.99,overcast clouds,-5.25,14.8667,Hotel Full Business
303,Hun,LY,88.47,clear sky,29.1268,15.9477,Alrwasi Hotel
305,Mount Isa,AU,82.17,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
306,Lorengau,PG,79.72,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
312,Montepuez,MZ,89.11,clear sky,-13.1256,38.9997,PembaAparthotel
316,Bolpur,IN,85.44,broken clouds,23.6667,87.7167,Charbari Resort (Chalantika Group)
319,Basco,PH,83.53,broken clouds,20.4487,121.9702,Nathaniel's Lodge
320,Sinnamary,GF,83.52,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
325,Kitui,KE,78.06,overcast clouds,-1.367,38.0106,Heritage Bliss Hotel
326,Armeria,MX,85.77,overcast clouds,18.9333,-103.9667,Hotel la Herradura
327,Porto Novo,BJ,87.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
334,Gushikawa,JP,81.63,few clouds,26.3544,127.8686,Kirari Guest House
336,Umm Lajj,SA,83.14,clear sky,25.0213,37.2685,Moon light Furnished Units
339,Guaymas,MX,76.89,few clouds,27.9333,-110.9,Hotel Armida
342,Baiao,BR,83.52,light rain,-2.7906,-49.6717,Hotel Eurosono
349,Kudahuvadhoo,MV,83.3,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
351,Kirakira,SB,79.59,overcast clouds,-10.4544,161.9205,SanBiz Lodge
356,Victoria,HK,86.32,light rain,22.2855,114.1577,Mini Hotel Central
357,Pozo Colorado,PY,75.02,light rain,-23.4923,-58.7972,Hospedaje la Amistad
358,Orocue,CO,86.18,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
361,Waddan,LY,87.73,clear sky,29.1614,16.139,محل الشريف محمد العايب
362,Tanakpur,IN,76.06,clear sky,29.0833,80.1167,Hotel Parvat
369,Oistins,BB,89.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
371,Fukue,JP,77.52,clear sky,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
372,Beawar,IN,83.97,broken clouds,26.1,74.3167,HL Palace Beawar
