City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,53.74,80,79,0.92,broken clouds
1,Vestmannaeyjar,IS,63.4427,-20.2734,54.59,47,0,3.44,clear sky
2,Albany,US,42.6001,-73.9662,64.81,82,100,2.42,light rain
3,Pidhorodna,UA,48.107,30.8895,57.99,44,3,7.16,clear sky
4,Belmonte,BR,-15.8631,-38.8828,84.2,66,33,13.33,scattered clouds
5,Bluff,NZ,-46.6,168.3333,45.81,84,100,18.54,moderate rain
6,Buala,SB,-8.145,159.5921,79.11,84,17,3.18,few clouds
7,Ribeira Grande,PT,38.5167,-28.7,75.6,83,40,11.5,scattered clouds
8,Hasaki,JP,35.7333,140.8333,63.0,80,0,10.25,clear sky
9,Kahului,US,20.8947,-156.47,77.85,83,75,0.0,broken clouds
10,Yellowknife,CA,62.456,-114.3525,47.41,67,25,8.99,scattered clouds
11,Mastic Beach,US,40.7668,-72.8521,76.57,69,1,5.01,clear sky
12,Punta Arenas,CL,-53.15,-70.9167,48.31,57,20,31.07,light rain
13,Roald,NO,62.5833,6.1333,61.72,55,40,9.22,scattered clouds
14,Bengkulu,ID,-3.8004,102.2655,77.16,90,92,7.49,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,47.86,53,75,10.36,broken clouds
16,Sur,OM,22.5667,59.5289,85.57,71,100,18.79,overcast clouds
17,Mahebourg,MU,-20.4081,57.7,73.26,94,75,10.36,light rain
18,Beyneu,KZ,45.3167,55.2,56.86,27,13,7.96,few clouds
19,Padang,ID,-0.9492,100.3543,78.85,87,97,3.6,overcast clouds
20,Naze,JP,28.3667,129.4833,77.99,61,0,17.6,clear sky
21,Sao Filipe,CV,14.8961,-24.4956,80.35,77,45,6.87,scattered clouds
22,Kapaa,US,22.0752,-159.319,75.52,85,75,11.5,light rain
23,Kumluca,TR,36.3703,30.2869,78.1,50,0,5.7,clear sky
24,Barrow,US,71.2906,-156.7887,28.42,80,90,10.36,light snow
25,Zhigansk,RU,66.7697,123.3711,26.31,83,26,5.66,scattered clouds
26,Vaini,TO,-21.2,-175.2,73.56,88,75,10.36,broken clouds
