City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Busselton,AU,2021-09-29 03:47:17,-33.65,115.3333,64.85,78,64,15.75
1,Nanortalik,GL,2021-09-29 03:47:18,60.1432,-45.2371,36.88,62,0,3.67
2,Saint-Philippe,RE,2021-09-29 03:47:18,-21.3585,55.7679,72.21,76,33,11.72
3,Kodiak,US,2021-09-29 03:47:19,57.79,-152.4072,51.31,62,75,0.0
4,Rio Grande,BR,2021-09-29 03:43:30,-32.035,-52.0986,60.94,95,100,15.86
5,Biak,ID,2021-09-29 03:47:20,-0.9131,122.8766,83.19,71,42,7.2
6,Ushuaia,AR,2021-09-29 03:46:36,-54.8,-68.3,46.06,46,40,19.57
7,Umm Kaddadah,SD,2021-09-29 03:47:22,13.6017,26.6876,83.03,23,60,15.14
8,Tibana,RO,2021-09-29 03:47:22,46.9833,27.3333,48.38,61,100,1.61
9,Vaini,TO,2021-09-29 03:47:23,-21.2,-175.2,78.96,89,20,9.22
10,Westport,US,2021-09-29 03:47:24,41.1415,-73.3579,65.98,87,1,5.99
11,Kapaa,US,2021-09-29 03:47:25,22.0752,-159.319,82.38,79,75,19.57
12,Saskylakh,RU,2021-09-29 03:47:25,71.9167,114.0833,29.19,77,100,4.99
13,Plettenberg Bay,ZA,2021-09-29 03:45:28,-34.0527,23.3716,56.32,71,100,4.81
14,Albany,US,2021-09-29 03:47:27,42.6001,-73.9662,54.45,78,82,5.28
15,Saint George,US,2021-09-29 03:47:28,37.1041,-113.5841,79.39,28,20,1.01
16,Paamiut,GL,2021-09-29 03:47:28,61.994,-49.6678,31.5,41,24,8.34
17,Kenora,CA,2021-09-29 03:47:29,49.8167,-94.4337,69.78,68,1,9.22
18,Saint-Augustin,CA,2021-09-29 03:47:30,51.226,-58.6502,45.68,85,7,8.21
19,Nemuro,JP,2021-09-29 03:47:30,43.3236,145.575,68.43,72,100,12.28
20,Chandbali,IN,2021-09-29 03:47:31,20.7833,86.7667,83.39,78,100,10.16
21,Cape Town,ZA,2021-09-29 03:46:51,-33.9258,18.4232,59.41,70,0,18.41
22,Oranjemund,NA,2021-09-29 03:47:33,-28.55,16.4333,55.72,89,51,9.53
23,Laguna,US,2021-09-29 03:47:34,38.421,-121.4238,70.3,27,1,1.99
24,Samarai,PG,2021-09-29 03:47:34,-10.6167,150.6667,79.36,87,95,16.28
25,Palu,ID,2021-09-29 03:47:35,-0.8917,119.8707,89.1,66,77,3.27
26,Thinadhoo,MV,2021-09-29 03:47:36,0.5333,72.9333,82.78,72,76,9.51
27,Talnakh,RU,2021-09-29 03:47:37,69.4865,88.3972,35.8,60,33,2.68
28,Ifakara,TZ,2021-09-29 03:42:43,-8.1333,36.6833,72.05,77,22,2.89
29,Khovu-Aksy,RU,2021-09-29 03:47:39,51.1333,93.6,41.36,35,69,2.64
30,Zhigansk,RU,2021-09-29 03:47:40,66.7697,123.3711,36.07,65,51,19.82
31,Cayenne,GF,2021-09-29 03:47:41,4.9333,-52.3333,83.08,79,0,4.0
32,Rikitea,PF,2021-09-29 03:47:41,-23.1203,-134.9692,73.58,63,100,17.11
33,Pontianak,ID,2021-09-29 03:47:07,-0.0333,109.3333,84.18,84,75,5.75
34,Tuktoyaktuk,CA,2021-09-29 03:47:42,69.4541,-133.0374,33.8,100,90,11.5
35,Codrington,AU,2021-09-29 03:47:26,-38.2667,141.9667,59.52,73,99,19.35
36,Kruisfontein,ZA,2021-09-29 03:47:44,-34.0033,24.7314,48.88,80,100,7.16
37,Martapura,ID,2021-09-29 03:47:45,-3.4167,114.85,84.29,74,40,8.05
38,Rio Gallegos,AR,2021-09-29 03:47:45,-51.6226,-69.2181,48.25,34,40,20.71
39,Mataura,NZ,2021-09-29 03:47:46,-46.1927,168.8643,48.47,95,85,10.54
40,Vabalninkas,LT,2021-09-29 03:47:47,55.9667,24.75,47.62,85,98,8.46
41,Mabaruma,GY,2021-09-29 03:47:48,8.2,-59.7833,75.36,91,23,3.02
42,Kysyl-Syr,RU,2021-09-29 03:47:49,63.8986,122.7617,41.74,51,9,6.69
43,Beisfjord,NO,2021-09-29 03:47:49,68.3751,17.5988,50.25,77,92,4.34
44,Axim,GH,2021-09-29 03:47:10,4.8699,-2.2405,75.87,89,17,2.84
45,Namatanai,PG,2021-09-29 03:47:50,-3.6667,152.4333,83.88,76,50,8.34
46,Ust-Maya,RU,2021-09-29 03:47:52,60.4167,134.5333,48.42,66,77,9.62
47,Adrar,MR,2021-09-29 03:47:52,20.5022,-10.0711,85.96,11,0,6.53
48,Rocha,UY,2021-09-29 03:47:53,-34.4833,-54.3333,53.55,74,67,7.05
49,Bredasdorp,ZA,2021-09-29 03:47:54,-34.5322,20.0403,47.52,93,13,3.44
50,Barrow,US,2021-09-29 03:47:54,71.2906,-156.7887,30.22,80,90,4.61
51,Alice Springs,AU,2021-09-29 03:47:54,-23.7,133.8833,81.95,14,0,8.05
52,Avera,US,2021-09-29 03:47:55,33.194,-82.5271,70.72,67,1,5.35
53,Araouane,ML,2021-09-29 03:47:55,18.9048,-3.5265,86.49,14,0,7.74
54,Jamestown,US,2021-09-29 03:47:56,42.097,-79.2353,53.24,82,1,3.44
55,Vaitape,PF,2021-09-29 03:47:56,-16.5167,-151.75,78.87,76,20,15.88
56,Caborca,MX,2021-09-29 03:47:57,30.5838,-111.101,73.85,48,0,6.29
57,New Norfolk,AU,2021-09-29 03:47:58,-42.7826,147.0587,57.88,54,98,1.99
58,Nhulunbuy,AU,2021-09-29 03:47:59,-12.2333,136.7667,86.61,58,75,12.66
59,Atuona,PF,2021-09-29 03:47:59,-9.8,-139.0333,77.68,77,10,19.98
60,Clearlake,US,2021-09-29 03:48:00,38.9582,-122.6264,59.7,59,97,5.48
61,Jizan,SA,2021-09-29 03:48:01,17.3333,42.6667,85.14,72,8,3.36
62,Fort-Shevchenko,KZ,2021-09-29 03:48:02,44.5086,50.263,56.95,63,37,12.53
63,Coquimbo,CL,2021-09-29 03:48:03,-29.9533,-71.3436,53.33,93,100,3.44
64,Takapau,NZ,2021-09-29 03:48:05,-40.0333,176.35,55.72,67,20,13.29
65,San Carlos De Bariloche,AR,2021-09-29 03:44:36,-41.1456,-71.3082,38.95,48,20,3.44
66,Rafraf,TN,2021-09-29 03:48:07,37.1904,10.1837,68.31,78,96,15.77
67,Padang,ID,2021-09-29 03:48:08,-0.9492,100.3543,80.65,87,100,5.57
68,Nikolskoye,RU,2021-09-29 03:48:09,59.7035,30.7861,48.87,73,100,2.62
69,Sembe,CG,2021-09-29 03:48:10,1.6481,14.5806,68.47,99,100,1.7
70,Dharchula,IN,2021-09-29 03:48:10,29.85,80.5333,78.42,64,5,4.65
71,Thompson,CA,2021-09-29 03:48:11,55.7435,-97.8558,53.76,58,20,8.05
72,Vao,NC,2021-09-29 03:48:12,-22.6667,167.4833,68.85,76,11,22.28
73,Hobart,AU,2021-09-29 03:47:14,-42.8794,147.3294,58.23,61,40,9.22
74,Vaijapur,IN,2021-09-29 03:48:13,19.9167,74.7333,75.85,86,100,16.37
75,Isangel,VU,2021-09-29 03:48:13,-19.55,169.2667,77.11,65,75,12.66
76,Labuhan,ID,2021-09-29 03:48:14,-6.8844,112.2051,89.85,51,33,4.65
77,Pingdu,CN,2021-09-29 03:48:15,36.7844,119.9464,72.84,57,13,5.73
78,Bluff,NZ,2021-09-29 03:48:15,-46.6,168.3333,48.79,83,93,26.35
79,Victoria,HK,2021-09-29 03:46:21,22.2855,114.1577,91.96,74,5,4.0
80,Talcahuano,CL,2021-09-29 03:44:10,-36.7167,-73.1167,49.68,93,20,2.3
81,Ponta Do Sol,PT,2021-09-29 03:48:17,32.6667,-17.1,73.0,77,67,7.27
82,Lebu,CL,2021-09-29 03:48:17,-37.6167,-73.65,46.04,83,35,4.34
83,Primorsk,UA,2021-09-29 03:48:18,46.7348,36.3443,55.17,67,100,14.67
84,Komsomolskiy,UZ,2021-09-29 03:48:19,40.4272,71.7189,70.95,40,3,6.91
85,Sao Joao Da Barra,BR,2021-09-29 03:48:19,-21.6403,-41.0511,71.92,87,3,16.96
86,Tomatlan,MX,2021-09-29 03:48:20,19.9333,-105.25,75.07,93,94,2.84
